horizon,beta,se,pval,n,ci_lower,ci_upper,specification,outcome
3,-0.000324,0.004794,0.946089,2244,-0.009720,0.009072,within_Non-Bartik Industries,mean_routine
4,-0.002847,0.004829,0.555383,2193,-0.012312,0.006617,within_Non-Bartik Industries,mean_routine
5,-0.003737,0.004972,0.452333,2142,-0.013482,0.006008,within_Non-Bartik Industries,mean_routine
0,-0.000804,0.003022,0.790111,2397,-0.006728,0.005119,within_Non-Bartik Industries,mean_manual
1,-0.002372,0.005163,0.645886,2346,-0.012492,0.007747,within_Non-Bartik Industries,mean_manual
2,0.002041,0.006297,0.745847,2295,-0.010302,0.014384,within_Non-Bartik Industries,mean_manual
3,0.004895,0.005963,0.411693,2244,-0.006792,0.016582,within_Non-Bartik Industries,mean_manual
4,0.004167,0.006361,0.512449,2193,-0.008301,0.016634,within_Non-Bartik Industries,mean_manual
5,0.001550,0.007117,0.827633,2142,-0.012399,0.015498,within_Non-Bartik Industries,mean_manual
0,-0.001340,0.001058,0.205479,2397,-0.003414,0.000734,within_Non-Bartik Industries,mean_rti
1,-0.001597,0.001356,0.238725,2346,-0.004254,0.001060,within_Non-Bartik Industries,mean_rti
2,-0.000100,0.001925,0.958700,2295,-0.003872,0.003673,within_Non-Bartik Industries,mean_rti
3,0.000605,0.002150,0.778457,2244,-0.003609,0.004818,within_Non-Bartik Industries,mean_rti
4,-0.001095,0.002426,0.651790,2193,-0.005849,0.003660,within_Non-Bartik Industries,mean_rti
5,-0.001302,0.002370,0.582795,2142,-0.005948,0.003344,within_Non-Bartik Industries,mean_rti
0,-0.002596,0.001174,0.026939,2397,-0.004897,-0.000296,routine_trend,mean_rti
1,-0.003283,0.001500,0.028601,2346,-0.006223,-0.000343,routine_trend,mean_rti
2,-0.001893,0.001431,0.186033,2295,-0.004698,0.000913,routine_trend,mean_rti
3,-0.000749,0.001845,0.684542,2244,-0.004365,0.002866,routine_trend,mean_rti
4,-0.001937,0.001965,0.324260,2193,-0.005787,0.001914,routine_trend,mean_rti
5,-0.003434,0.002013,0.087929,2142,-0.007379,0.000510,routine_trend,mean_rti
0,0.002183,0.002578,0.397095,2397,-0.002869,0.007235,routine_trend,mean_abstract
1,0.002263,0.003147,0.472139,2346,-0.003905,0.008431,routine_trend,mean_abstract
2,-0.000293,0.003647,0.935864,2295,-0.007441,0.006854,routine_trend,mean_abstract
3,-0.001852,0.003870,0.632221,2244,-0.009438,0.005734,routine_trend,mean_abstract
4,-0.000307,0.004181,0.941477,2193,-0.008502,0.007888,routine_trend,mean_abstract
5,0.001688,0.004215,0.688897,2142,-0.006575,0.009950,routine_trend,mean_abstract
0,-0.009081,0.002136,0.000021,2397,-0.013268,-0.004893,routine_trend,mean_routine
1,-0.011097,0.003651,0.002368,2346,-0.018252,-0.003941,routine_trend,mean_routine
2,-0.008889,0.004285,0.038050,2295,-0.017288,-0.000490,routine_trend,mean_routine
3,-0.008968,0.004547,0.048599,2244,-0.017880,-0.000055,routine_trend,mean_routine
4,-0.010948,0.004931,0.026384,2193,-0.020612,-0.001284,routine_trend,mean_routine
5,-0.012462,0.004861,0.010357,2142,-0.021990,-0.002934,routine_trend,mean_routine
0,-0.003377,0.004495,0.452458,2397,-0.012188,0.005433,routine_trend,mean_manual
1,-0.003545,0.006540,0.587766,2346,-0.016363,0.009273,routine_trend,mean_manual
2,-0.003041,0.006885,0.658675,2295,-0.016536,0.010454,routine_trend,mean_manual
3,-0.005157,0.007778,0.507333,2244,-0.020401,0.010088,routine_trend,mean_manual
4,-0.006053,0.008431,0.472790,2193,-0.022578,0.010472,routine_trend,mean_manual
5,-0.005408,0.009342,0.562632,2142,-0.023718,0.012901,routine_trend,mean_manual
0,-0.002328,0.001114,0.036624,2397,-0.004512,-0.000145,all_trends,mean_rti
1,-0.002832,0.001392,0.041886,2346,-0.005559,-0.000104,all_trends,mean_rti
2,-0.001175,0.001289,0.361840,2295,-0.003702,0.001351,all_trends,mean_rti
3,0.000261,0.001660,0.875092,2244,-0.002993,0.003514,all_trends,mean_rti
4,-0.000601,0.001664,0.717894,2193,-0.003863,0.002661,all_trends,mean_rti
5,-0.001815,0.001624,0.263957,2142,-0.004999,0.001369,all_trends,mean_rti
0,0.001944,0.002519,0.440375,2397,-0.002994,0.006882,all_trends,mean_abstract
1,0.001997,0.003063,0.514532,2346,-0.004007,0.008001,all_trends,mean_abstract
2,-0.000689,0.003553,0.846327,2295,-0.007652,0.006275,all_trends,mean_abstract
3,-0.002511,0.003712,0.498842,2244,-0.009787,0.004766,all_trends,mean_abstract
4,-0.001003,0.003841,0.794073,2193,-0.008532,0.006527,all_trends,mean_abstract
5,0.000903,0.003876,0.815876,2142,-0.006694,0.008500,all_trends,mean_abstract
0,-0.008668,0.002040,0.000021,2397,-0.012665,-0.004670,all_trends,mean_routine
1,-0.010491,0.003523,0.002907,2346,-0.017396,-0.003585,all_trends,mean_routine
2,-0.008078,0.004086,0.048061,2295,-0.016087,-0.000069,all_trends,mean_routine
3,-0.007807,0.004268,0.067361,2244,-0.016173,0.000558,all_trends,mean_routine
4,-0.009185,0.004518,0.042041,2193,-0.018040,-0.000330,all_trends,mean_routine
5,-0.010220,0.004336,0.018425,2142,-0.018718,-0.001721,all_trends,mean_routine
0,-0.003545,0.004416,0.422127,2397,-0.012199,0.005110,all_trends,mean_manual
1,-0.004018,0.006440,0.532728,2346,-0.016640,0.008605,all_trends,mean_manual
2,-0.003988,0.006807,0.557974,2295,-0.017331,0.009354,all_trends,mean_manual
3,-0.006339,0.007554,0.401354,2244,-0.021145,0.008467,all_trends,mean_manual
4,-0.007435,0.007873,0.345022,2193,-0.022867,0.007997,all_trends,mean_manual
5,-0.007016,0.008682,0.419048,2142,-0.024033,0.010001,all_trends,mean_manual
